    Timor-Leste |         43        0.56       88.21
           Togo |         43        0.56       88.77
Trinidad-Tobago |         43        0.56       89.34
        Tunisia |         43        0.56       89.90
    Turk Cyprus |         43        0.56       90.46
         Turkey |         43        0.56       91.02
   Turkmenistan |         43        0.56       91.58
            UAE |         43        0.56       92.14
             UK |         43        0.56       92.70
            USA |         43        0.56       93.26
         Uganda |         43        0.56       93.83
        Ukraine |         43        0.56       94.39
        Uruguay |         43        0.56       94.95
     Uzbekistan |         43        0.56       95.51
        Vanuatu |         43        0.56       96.07
      Venezuela |         43        0.56       96.63
        Vietnam |         43        0.56       97.19
          Yemen |         28        0.37       97.56
     Yemen (AR) |         15        0.20       97.75
    Yemen (PDR) |         43        0.56       98.32
     Yugoslavia |         43        0.56       98.88
         Zambia |         43        0.56       99.44
       Zimbabwe |         43        0.56      100.00
