             Cabo Verde |         77        0.52       80.91
  Central  African Rep. |         77        0.52       81.42
     Congo Dem. Rep. of |         77        0.52       81.94
          Congo Rep. of |         77        0.52       82.45
             Costa Rica |         77        0.52       82.97
          Cote D"Ivoire |         77        0.52       83.49
             Czech Rep. |         77        0.52       84.00
     Dominican Republic |         77        0.52       84.52
           El  Salvador |         77        0.52       85.04
      Equatorial Guinea |         77        0.52       85.55
          Guinea Bissau |         77        0.52       86.07
              Hong Kong |         77        0.52       86.58
            Kyrgyz Rep. |         77        0.52       87.10
         Lao  Dem. Rep. |         77        0.52       87.62
          Macedonia FYR |         77        0.52       88.13
     Marshall   Islands |         77        0.52       88.65
  Netherlands  Antilles |         77        0.52       89.17
            New Zealand |         77        0.52       89.68
             San Marino |         77        0.52       90.20
    Sao Tome & Principe |         77        0.52       90.71
           Saudi Arabia |         77        0.52       91.23
       Serbia,  Rep. of |         77        0.52       91.75
           Sierra Leone |         77        0.52       92.26
        Slovak Republic |         77        0.52       92.78
        Solomon Islands |         77        0.52       93.30
           South Africa |         77        0.52       93.81
              Sri Lanka |         77        0.52       94.33
St Vincent & Grenadines |         77        0.52       94.84
    St. Kitts and Nevis |         77        0.52       95.36
              St. Lucia |         77        0.52       95.88
       Syrian Arab Rep. |         76        0.51       96.39
            The Bahamas |         77        0.52       96.90
             The Gambia |         77        0.52       97.42
        Trinidad Tobago |         77        0.52       97.93
        United  Kingdom |         77        0.52       98.45
          United States |         77        0.52       98.97
     West Bank and Gaza |         77        0.52       99.48
          Yemen Rep. of |         77        0.52      100.00
------------------------+-----------------------------------
                  Total |     14,915      100.00
